City,Market Score,Annual Revenue,Occupancy Rate,Average Daily Rate,Seasonality,Rank
Neufmoutiers En Brie,25,12300,41.0,149.7,15,473
Trappes,23,4200,41.0,143.1,49,474
Lesches,24,6400,47.0,230.0,5,475
Domont,27,5800,39.0,136.7,38,476
Viarmes,3,23500,45.0,261.9,5,477
Guermantes,0,11800,44.0,139.3,82,478
Coutevroult,24,11900,40.0,132.1,22,479
Vaux Sur Seine,20,8100,54.0,152.4,7,480
Vaires Sur Marne,16,7100,44.0,267.4,23,481
Boissy Saint Leger,26,6900,39.0,142.0,33,482
Bazainville,33,10200,25.0,296.8,3,483
Montesson,36,4700,35.0,230.4,2,484
Chalo Saint Mars,9,16300,32.0,407.6,11,485
Grosrouvre,7,16900,46.0,300.3,2,486
Margency,30,4700,40.0,244.9,3,487
Marines,10,17200,47.0,241.5,1,488
Mortcerf,17,12100,48.0,136.5,17,489
Bruyeres Sur Oise,26,5300,52.0,50.9,22,490
Pomponne,18,9700,42.0,207.5,22,491
Bussy Saint Martin,0,14600,44.0,288.1,35,492
Coignieres,22,7300,45.0,216.8,8,493
Noisy Le Roi,1,10800,46.0,465.5,2,494
La Verriere,12,4000,53.0,121.1,48,495
Bennecourt,29,10400,37.0,167.3,6,496
Paley,30,11000,33.0,166.1,11,497
Gometz Le Chatel,28,3900,52.0,85.0,10,498
Chateaufort,3,10300,46.0,407.4,7,499
Les Ulis,31,3300,39.0,98.1,30,500
Rocquencourt,23,6800,44.0,189.5,8,501
Orgeval,11,9200,36.0,316.2,28,502
Eaubonne,18,5000,41.0,213.3,30,503
Aulnoy,11,14400,42.0,194.7,19,504
Coubron,18,11000,42.0,157.7,18,505
Bourron Marlotte,26,9100,32.0,157.9,26,506
Villebon Sur Yvette,24,5400,47.0,150.4,8,507
Montge En Goele,24,9800,44.0,128.8,4,508
Thoiry,17,14700,28.0,350.1,1,509
Champcueil,20,8500,39.0,262.0,3,510
Bonneuil Sur Marne,27,4700,45.0,127.5,8,511
Bourdonne,0,11900,40.0,450.9,2,512
Gambais,10,11600,37.0,289.8,14,513
Saint Hilarion,32,2100,42.0,64.4,16,514
Medan,3,12500,45.0,299.7,8,515
Auffargis,26,7500,37.0,182.1,2,516
Chateau Landon,7,14900,35.0,243.2,24,517
Mantes La Ville,16,3900,43.0,79.9,50,518
Bougival,10,7000,41.0,288.8,17,519
Lommoye,11,15200,31.0,298.8,8,520
Houdan,23,8500,33.0,135.6,24,521
Pontault Combault,18,7800,40.0,132.2,24,522
Vert Saint Denis,20,9500,39.0,123.3,16,523
Saint Thibault Des Vignes,10,10800,43.0,191.5,16,524
Eragny,19,3100,41.0,91.5,42,525
Janvry,0,10400,56.0,141.2,24,526
Louveciennes,6,6600,43.0,327.1,13,527
Morsang Sur Orge,15,3800,37.0,92.8,60,528
Aincourt,19,7800,29.0,289.6,12,529
Courtry,30,3900,38.0,145.0,1,530
Fourqueux,15,3300,47.0,217.6,9,531
Paray Vieille Poste,15,6500,40.0,150.8,29,532
Voisins Le Bretonneux,8,5100,49.0,265.9,7,533
Messy,0,12100,40.0,377.8,5,534
Sammeron,25,6300,40.0,73.5,15,535
Maurepas,14,7200,42.0,222.2,7,536
Verneuil Sur Seine,14,4900,45.0,163.4,19,537
Marly La Ville,17,6200,37.0,147.9,29,538
Dugny,11,5300,37.0,203.2,37,539
Saulx Marchais,0,8800,39.0,383.7,13,540
Villeneuve Saint Georges,18,3400,39.0,99.4,38,541
Dampierre En Yvelines,2,6300,48.0,326.1,2,542
Le Plessis Trevise,14,5000,38.0,237.9,14,543
Ezanville,9,6200,42.0,178.4,26,544
Gretz Armainvilliers,19,5400,45.0,87.1,11,545
Montlignon,16,5200,40.0,219.5,5,546
